Fever,Cough,Headache,Fatigue,Sore_Throat,Runny_Nose,Body_Pain,Disease
1,1,1,1,1,1,1,Flu
1,1,0,1,1,1,0,Flu
1,1,1,1,0,1,1,Flu
1,1,0,0,1,1,0,Flu
1,1,1,0,1,1,1,Flu
1,0,1,1,1,1,1,Flu
1,1,0,1,0,1,1,Flu
0,1,1,1,1,1,0,Flu

1,0,1,1,0,0,1,Dengue
1,0,1,1,0,0,1,Dengue
1,0,1,1,1,0,1,Dengue
1,0,0,1,0,0,1,Dengue
1,0,1,0,0,0,1,Dengue
1,0,1,1,0,0,0,Dengue
1,0,0,1,0,0,1,Dengue
1,0,1,1,1,0,0,Dengue

0,1,1,1,1,1,0,Common_Cold
0,1,1,0,1,1,0,Common_Cold
0,1,0,0,1,1,0,Common_Cold
0,1,1,0,1,1,1,Common_Cold
0,1,0,1,1,1,0,Common_Cold
0,1,1,1,1,1,1,Common_Cold
0,1,0,0,1,1,1,Common_Cold
0,1,1,0,1,1,0,Common_Cold

1,1,1,1,1,0,1,COVID_19
1,1,0,1,1,0,1,COVID_19
1,1,1,0,1,0,1,COVID_19
1,0,1,1,1,0,0,COVID_19
1,1,0,0,1,0,1,COVID_19
1,1,1,1,0,0,1,COVID_19
0,1,1,1,1,0,1,COVID_19
1,0,1,0,1,0,1,COVID_19

0,0,1,1,0,0,1,Migraine
0,0,1,1,0,0,0,Migraine
0,0,1,0,0,0,1,Migraine
0,0,1,1,0,0,0,Migraine
0,0,1,1,0,0,1,Migraine
0,0,1,0,0,0,0,Migraine
0,0,1,1,0,0,0,Migraine
0,0,1,0,0,0,1,Migraine
